Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
2,GMRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
3,GMRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
4,GMRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
5,GMRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
6,GMRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
7,GMRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
8,FRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
9,FRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
10,FRS 10,467.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
11,FRS 11,467.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
12,FRS 12,467.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
13,FRS 13,467.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
14,FRS 14,467.712500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
15,GMRS 15,462.550000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
16,GMRS 16,462.575000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
17,GMRS 17,462.600000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
18,GMRS 18,462.625000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
19,GMRS 19,462.650000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
20,GMRS 20,462.675000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
21,GMRS 21,462.700000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
22,GMRS 22,462.725000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
23,550/15R,462.550000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
24,575/16R,462.575000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
25,600/17R,462.600000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
26,625/18R,462.625000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
27,650/19R,462.650000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
28,675/20R,462.675000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
29,700/21R,462.700000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
30,725/22R,462.725000,+,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
31,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,Blue Dot,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,Green Dot,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,CH20/12,462.675000,,0.000000,TSQL,88.5,100.0,023,NN,FM,12.50,,,,,,
41,CH15/27,462.550000,,0.000000,TSQL,88.5,167.9,023,NN,FM,12.50,,,,,,
42,CH16/28,462.575000,,0.000000,TSQL,88.5,173.8,023,NN,FM,12.50,,,,,,
43,CH17/29,462.600000,,0.000000,TSQL,88.5,179.9,023,NN,FM,12.50,,,,,,
44,CH18/30,462.625000,,0.000000,TSQL,88.5,186.2,023,NN,FM,12.50,,,,,,
45,CH19/31,462.650000,,0.000000,TSQL,88.5,192.8,023,NN,FM,12.50,,,,,,
46,CH21/33,462.700000,,0.000000,TSQL,88.5,210.7,023,NN,FM,12.50,,,,,,
47,CH22/34,462.725000,,0.000000,TSQL,88.5,218.1,023,NN,FM,12.50,,,,,,
50,BRC 911,451.900000,,0.000000,TSQL,88.5,91.5,023,NN,FM,5.00,,,,,,
51,BRC UHF,440.175000,+,5.000000,TSQL,88.5,100.0,023,NN,FM,12.50,,,,,,
52,BRC VHF,145.230000,-,0.600000,TSQL,88.5,123.0,023,NN,FM,12.50,,,,,,
90,NOAA,162.550000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
91,NOAA,162.400000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,,,,,
